logFC	AveExpr	t	P.Value	adj.P.Val	B	ID	Symbol
-4.29052192504363	7.15151416480021	-12.5116632467637	7.69699562586353e-06	0.109610894366204	3.14337483644217	201667_at	GJA1
2.11050690615968	6.65645418611289	10.8313875096903	1.91681259917833e-05	0.109610894366204	2.65010680764015	223875_s_at	EPC1
1.48971026853205	7.12909950203136	10.6490750739576	2.13254212285484e-05	0.109610894366204	2.58782971490207	204115_at	GNG11
-2.81548083849818	6.79744978042519	-10.4194833637761	2.44487553638574e-05	0.109610894366204	2.50660844652357	214844_s_at	DOK5
-1.40167671815745	6.44521605939171	-10.3274295305361	2.58456632823807e-05	0.109610894366204	2.47313833562531	207086_x_at	NA
-3.13801132888614	6.39891355162085	-10.1369643975512	2.90358655035351e-05	0.109610894366204	2.40218456645794	202037_s_at	SFRP1
1.40852850951715	6.13781618075889	9.97813793267608	3.20434171391068e-05	0.109610894366204	2.34120921938094	241855_s_at	NA
1.97941364360209	9.73845472789274	9.74157969506978	3.72074357589789e-05	0.109610894366204	2.24722026640585	234969_s_at	EPC1
-3.46937728658143	6.39088331314008	-9.65562999647772	3.93145467941242e-05	0.109610894366204	2.2120997930702	215889_at	SKIL
-1.4667577743901	7.40189212640645	-9.50309315466913	4.33988164978289e-05	0.109610894366204	2.14845455202396	209304_x_at	GADD45B
